Hydrohausmannite,https://en.wikipedia.org/wiki/Hydrohausmannite,Iron,,,,,,,,,,,,,,,,,,,,,,,,
Hypersthene,https://en.wikipedia.org/wiki/Hypersthene,Genesee,Keweenaw,Marquette,,,,,,,,,,,,,,,,,,,,,,
Iddingsite,https://en.wikipedia.org/wiki/Iddingsite,Houghton,Keweenaw,,,,,,,,,,,,,,,,,,,,,,,
Illite,https://en.wikipedia.org/wiki/Illite,Baraga,Houghton,Iron,Marquette,Ontonagon,,,,,,,,,,,,,,,,,,,,
Ilmenite,https://en.wikipedia.org/wiki/Ilmenite,Dickinson,Genesee,Gratiot,Houghton,Iron,Keweenaw,,,,,,,,,,,,,,,,,,,
Jacobsite,https://en.wikipedia.org/wiki/Jacobsite,Marquette,,,,,,,,,,,,,,,,,,,,,,,,
Julgoldite,https://en.wikipedia.org/wiki/Julgoldite,Keweenaw,,,,,,,,,,,,,,,,,,,,,,,,
Kamiokite,https://en.wikipedia.org/wiki/Kamiokite,Keweenaw,,,,,,,,,,,,,,,,,,,,,,,,
Kaolinite,https://en.wikipedia.org/wiki/Kaolinite,Gogebic,Houghton,Iron,Keweenaw,Marquette,,,,,,,,,,,,,,,,,,,,
Kinoite,https://en.wikipedia.org/wiki/Kinoite,Houghton,,,,,,,,,,,,,,,,,,,,,,,,
Kutnahorite,https://en.wikipedia.org/wiki/Kutnahorite,Marquette,,,,,,,,,,,,,,,,,,,,,,,,
Kyanite,https://en.wikipedia.org/wiki/Kyanite,Genesee,Iron,Marquette,,,,,,,,,,,,,,,,,,,,,,
Labradorite,https://en.wikipedia.org/wiki/Labradorite,Dickinson,Houghton,Iron,Keweenaw,Marquette,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Langite,https://en.wikipedia.org/wiki/Langite,Keweenaw,,,,,,,,,,,,,,,,,,,,,,,,
Laumontite,https://en.wikipedia.org/wiki/Laumontite,Dickinson,Gogebic,Houghton,Keweenaw,,,,,,,,,,,,,,,,,,,,,
Lavendulan,https://en.wikipedia.org/wiki/Lavendulan,Keweenaw,,,,,,,,,,,,,,,,,,,,,,,,
Leonhardite,https://en.wikipedia.org/wiki/Leonhardite,Houghton,Keweenaw,,,,,,,,,,,,,,,,,,,,,,,
Lepidocrocite,https://en.wikipedia.org/wiki/Lepidocrocite,Dickinson,,,,,,,,,,,,,,,,,,,,,,,,
Leucoxene,https://en.wikipedia.org/wiki/Leucoxene,Genesee,Houghton,Keweenaw,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Lizardite,https://en.wikipedia.org/wiki/Lizardite,Dickinson,Marquette,,,,,,,,,,,,,,,,,,,,,,,
Mackinawite,https://en.wikipedia.org/wiki/Mackinawite,Marquette,,,,,,,,,,,,,,,,,,,,,,,,
Magnesiosussexite,https://en.wikipedia.org/wiki/Magnesiosussexite,Gogebic,,,,,,,,,,,,,,,,,,,,,,,,
Magnetite,https://en.wikipedia.org/wiki/Magnetite,Baraga,Dickinson,Gogebic,Houghton,Iron,Keweenaw,Marquette,Ontonagon,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Malachite,https://en.wikipedia.org/wiki/Malachite,Dickinson,Gogebic,Houghton,Marquette,Ontonagon,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Manganite,https://en.wikipedia.org/wiki/Manganite,Baraga,Gogebic,Houghton,Iron,Marquette,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Manganocalcite,https://en.wikipedia.org/wiki/Manganocalcite,Marquette,,,,,,,,,,,,,,,,,,,,,,,,
Marcasite,https://en.wikipedia.org/wiki/Marcasite,Alpena,Antrim,Baraga,Calhoun,Chippewa,Dickinson,Eaton,Huron,Iron,Jackson,Marquette,Monroe,Ontonagon,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Margarite,https://en.wikipedia.org/wiki/Margarite,Marquette,,,,,,,,,,,,,,,,,,,,,,,,
Maucherite,https://en.wikipedia.org/wiki/Maucherite,Keweenaw,,,,,,,,,,,,,,,,,,,,,,,,
Melanterite,https://en.wikipedia.org/wiki/Melanterite,Baraga,Huron,,,,,,,,,,,,,,,,,,,,,,,
Melilite,https://en.wikipedia.org/wiki/Melilite,Houghton,,,,,,,,,,,,,,,,,,,,,,,,
Mesolite,https://en.wikipedia.org/wiki/Mesolite,Iron,Keweenaw,,,,,,,,,,,,,,,,,,,,,,,
Meta-Autunite,https://en.wikipedia.org/wiki/Meta-Autunite,Iron,,,,,,,,,,,,,,,,,,,,,,,,
Metatorbernite,https://en.wikipedia.org/wiki/Metatorbernite,Iron,,,,,,,,,,,,,,,,,,,,,,,,
Metatyuyamunite,https://en.wikipedia.org/wiki/Metatyuyamunite,Iron,,,,,,,,,,,,,,,,,,,,,,,,
Microcline,https://en.wikipedia.org/wiki/Microcline,Dickinson,Gogebic,Gratiot,Houghton,Iron,Keweenaw,Marquette,Ontonagon,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Millerite,https://en.wikipedia.org/wiki/Millerite,Huron,Marquette,,,,,,,,,,,,,,,,,,,,,,,
Minnesotaite,https://en.wikipedia.org/wiki/Minnesotaite,Baraga,Gogebic,Marquette,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
